@relation relasionsita

@attribute dia {Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo}
@attribute mes {Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre}
@attribute hora numeric
@attribute tipo {Laboral,Festivo,Víspera}
@attribute cantidad numeric

@data
Viernes,Julio,17,Laboral,8125
Sábado,Julio,17,Víspera,7875
Domingo,Julio,17,Festivo,7409
Lunes,Julio,18,Laboral,5287
Martes,Julio,18,Laboral,5402
Miércoles,Julio,18,Laboral,8004
Jueves,Julio,18,Laboral,8040
Viernes,Julio,18,Laboral,8122
Sábado,Julio,18,Víspera,7498
Domingo,Julio,18,Festivo,7366
Lunes,Julio,19,Laboral,4901
Martes,Julio,19,Laboral,5814
Miércoles,Julio,19,Laboral,7973
Jueves,Julio,19,Laboral,7793
Viernes,Julio,19,Laboral,8037
Sábado,Julio,19,Víspera,6616
Domingo,Julio,19,Festivo,5989
Lunes,Julio,20,Laboral,3935
Martes,Julio,20,Laboral,6298
Miércoles,Julio,20,Laboral,7043
Jueves,Julio,20,Laboral,7502
Viernes,Julio,20,Laboral,6751
Sábado,Julio,20,Víspera,5060
Domingo,Julio,20,Festivo,4407
Lunes,Julio,21,Laboral,5047
Martes,Julio,21,Laboral,5802
Miércoles,Julio,21,Laboral,6294
Jueves,Julio,21,Laboral,6607
Viernes,Julio,21,Laboral,3888
Sábado,Julio,21,Víspera,5595
Domingo,Julio,21,Festivo,6790
Lunes,Julio,22,Laboral,6131
Martes,Julio,22,Laboral,4789
Miércoles,Julio,22,Laboral,4956
Jueves,Julio,22,Laboral,5098
Viernes,Julio,22,Laboral,4538
Sábado,Julio,22,Víspera,5252
Domingo,Julio,22,Festivo,6148
Lunes,Julio,23,Laboral,4219
Martes,Julio,23,Laboral,3212
Miércoles,Julio,23,Laboral,3200
Jueves,Julio,23,Laboral,3206
Viernes,Julio,23,Laboral,3407
Sábado,Julio,23,Víspera,3662
Domingo,Julio,23,Festivo,4345
Lunes,Julio,24,Laboral,2721
Martes,Julio,24,Laboral,1858
Miércoles,Julio,24,Laboral,1641
Jueves,Julio,24,Laboral,1673
Viernes,Julio,24,Laboral,1926
Sábado,Julio,24,Víspera,1934
Domingo,Julio,24,Festivo,2592
Lunes,Julio,1,Laboral,1947
Martes,Julio,1,Laboral,2573
Miércoles,Julio,1,Laboral,1005
Jueves,Julio,1,Laboral,864
Viernes,Julio,1,Laboral,941
Sábado,Julio,1,Víspera,938
Domingo,Julio,1,Festivo,1273
Lunes,Julio,2,Laboral,1189
Martes,Julio,2,Laboral,1537
Miércoles,Julio,2,Laboral,489
Jueves,Julio,2,Laboral,491
Viernes,Julio,2,Laboral,480
Sábado,Julio,2,Víspera,494
Domingo,Julio,2,Festivo,655
Lunes,Julio,3,Laboral,788
Martes,Julio,3,Laboral,958
Miércoles,Julio,3,Laboral,278
Jueves,Julio,3,Laboral,259
Viernes,Julio,3,Laboral,268
Sábado,Julio,3,Víspera,282
Domingo,Julio,3,Festivo,358
Lunes,Julio,4,Laboral,538
Martes,Julio,4,Laboral,583
Miércoles,Julio,4,Laboral,248
Jueves,Julio,4,Laboral,276
Viernes,Julio,4,Laboral,203
Sábado,Julio,4,Víspera,225
Domingo,Julio,4,Festivo,323
Lunes,Julio,5,Laboral,468
Martes,Julio,5,Laboral,557
Miércoles,Julio,5,Laboral,379
Jueves,Julio,5,Laboral,395
