@relation ./DatosEnPDF/16_01-04_01-10.pdf

@attribute dia {Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo}
@attribute mes {Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre}
@attribute hora numeric
@attribute tipo {Laboral,Festivo,Víspera}
@attribute lluvia {si, no}
@attribute cantidad numeric

@data
Miércoles,Febrero,8,Laboral,no,9160
Jueves,Febrero,8,Laboral,no,9298
Viernes,Febrero,8,Laboral,no,1096
Sábado,Febrero,8,Víspera,no,894
Domingo,Febrero,8,Festivo,no,340
Lunes,Febrero,9,Laboral,no,9658
Martes,Febrero,9,Festivo,no,9985
Miércoles,Febrero,9,Laboral,no,9583
Jueves,Febrero,9,Laboral,no,9365
Viernes,Febrero,9,Laboral,no,1018
Sábado,Febrero,9,Víspera,no,578
Domingo,Febrero,9,Festivo,no,260
Lunes,Febrero,10,Laboral,no,8545
Martes,Febrero,10,Festivo,no,8644
Miércoles,Febrero,10,Laboral,no,8600
Jueves,Febrero,10,Laboral,no,6118
Viernes,Febrero,10,Laboral,no,1889
Sábado,Febrero,10,Víspera,no,1821
Domingo,Febrero,10,Festivo,no,904
Lunes,Febrero,11,Laboral,no,7648
Martes,Febrero,11,Festivo,no,7660
Miércoles,Febrero,11,Laboral,no,7753
Jueves,Febrero,11,Laboral,no,2049
Viernes,Febrero,11,Laboral,no,2013
Sábado,Febrero,11,Víspera,no,2371
Domingo,Febrero,11,Festivo,no,1282
Lunes,Febrero,12,Laboral,no,7500
Martes,Febrero,12,Festivo,no,7571
Miércoles,Febrero,12,Laboral,no,7664
Jueves,Febrero,12,Laboral,no,2311
Viernes,Febrero,12,Laboral,no,2187
Sábado,Febrero,12,Víspera,no,2318
Domingo,Febrero,12,Festivo,no,1274
Lunes,Febrero,13,Laboral,no,7860
Martes,Febrero,13,Festivo,no,7970
Miércoles,Febrero,13,Laboral,no,7910
Jueves,Febrero,13,Laboral,no,2358
Viernes,Febrero,13,Laboral,no,1986
Sábado,Febrero,13,Víspera,no,1584
Domingo,Febrero,13,Festivo,no,1092
Lunes,Febrero,14,Laboral,no,9357
Martes,Febrero,14,Festivo,no,9054
Miércoles,Febrero,14,Laboral,no,9317
Jueves,Febrero,14,Laboral,no,2335
Viernes,Febrero,14,Laboral,no,1922
Sábado,Febrero,14,Víspera,no,1238
Domingo,Febrero,14,Festivo,no,1100
Lunes,Febrero,15,Laboral,no,10345
Martes,Febrero,15,Festivo,no,10247
Miércoles,Febrero,15,Laboral,no,10395
Jueves,Febrero,15,Laboral,no,2305
Viernes,Febrero,15,Laboral,no,1658
Sábado,Febrero,15,Víspera,no,1106
Domingo,Febrero,15,Festivo,no,864
Lunes,Febrero,16,Laboral,no,10358
Martes,Febrero,16,Festivo,no,10322
Miércoles,Febrero,16,Laboral,no,10219
Jueves,Febrero,16,Laboral,no,1905
Viernes,Febrero,16,Laboral,no,972
Sábado,Febrero,16,Víspera,no,1166
Domingo,Febrero,16,Festivo,no,540
Lunes,Febrero,17,Laboral,no,9809
Martes,Febrero,17,Festivo,no,9653
Miércoles,Febrero,17,Laboral,no,9889
Jueves,Febrero,17,Laboral,no,819
Viernes,Febrero,17,Laboral,no,3830
Sábado,Febrero,17,Víspera,no,2719
Domingo,Febrero,17,Festivo,no,2828
Lunes,Febrero,18,Laboral,no,10392
Martes,Febrero,18,Festivo,no,9703
Miércoles,Febrero,18,Laboral,no,10325
Jueves,Febrero,18,Laboral,no,1802
Viernes,Febrero,18,Laboral,no,429
Sábado,Febrero,18,Víspera,no,282
